,precision,recall,f1-score,support
0,1.0,1.0,1.0,11.0
1,0.0,0.0,0.0,1.0
3,0.5,1.0,0.6666666666666666,1.0
5,1.0,1.0,1.0,1.0
6,1.0,0.8888888888888888,0.9411764705882353,9.0
7,1.0,1.0,1.0,7.0
8,0.5,1.0,0.6666666666666666,1.0
9,1.0,1.0,1.0,1.0
11,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
accuracy,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575
macro avg,0.7703703703703704,0.8691358024691359,0.8008714596949891,47.0
weighted avg,0.9361702127659575,0.9361702127659575,0.9319983312473926,47.0
