,precision,recall,f1-score,support
0,0.9523809523809523,1.0,0.975609756097561,20.0
2,1.0,1.0,1.0,5.0
3,0.6666666666666666,1.0,0.8,2.0
4,0.0,0.0,0.0,1.0
5,0.16666666666666666,0.5,0.25,2.0
6,0.8181818181818182,0.9,0.8571428571428572,10.0
7,0.8571428571428571,0.9230769230769231,0.888888888888889,13.0
8,1.0,1.0,1.0,1.0
9,0.8,1.0,0.888888888888889,4.0
10,1.0,0.5,0.6666666666666666,2.0
11,1.0,0.8205128205128205,0.9014084507042254,39.0
accuracy,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8787878787878788
macro avg,0.7510035419126327,0.7857808857808858,0.7480550462171899,99.0
weighted avg,0.9115046569592024,0.8787878787878788,0.8866969466190813,99.0
