,precision,recall,f1-score,support
currency,1.0,0.6,0.75,5.0
energy,1.0,1.0,1.0,10.0
housing,1.0,0.95,0.9743589743589743,20.0
interest,0.75,0.8571428571428571,0.8,14.0
jobs,0.9553571428571429,0.981651376146789,0.9683257918552036,109.0
macro,0.8522727272727273,0.872093023255814,0.8620689655172413,86.0
market,0.92,0.7796610169491526,0.8440366972477065,59.0
none,0.956,0.9637096774193549,0.9598393574297188,248.0
other,0.5,0.5,0.5,6.0
prices,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
retail,0.6666666666666666,1.0,0.8,4.0
wages,0.8666666666666667,0.8125,0.8387096774193549,16.0
accuracy,0.9186440677966101,0.9186440677966101,0.9186440677966101,0.9186440677966101
macro avg,0.8500247113997114,0.8469093164223178,0.8402544791285403,590.0
weighted avg,0.9209560165822877,0.9186440677966101,0.9182959121475588,590.0
