,precision,recall,f1-score,support
currency,1.0,0.4,0.5714285714285714,5.0
energy,1.0,1.0,1.0,10.0
housing,0.9523809523809523,1.0,0.975609756097561,20.0
interest,0.9230769230769231,0.8571428571428571,0.8888888888888888,14.0
jobs,0.9722222222222222,0.963302752293578,0.967741935483871,109.0
macro,0.6722689075630253,0.9302325581395349,0.7804878048780488,86.0
market,0.9111111111111111,0.6949152542372882,0.7884615384615384,59.0
none,0.93359375,0.9637096774193549,0.9484126984126984,248.0
other,0.0,0.0,0.0,6.0
prices,0.3333333333333333,0.07692307692307693,0.125,13.0
retail,0.6666666666666666,0.5,0.5714285714285714,4.0
wages,1.0,0.5625,0.72,16.0
accuracy,0.8830508474576271,0.8830508474576271,0.8830508474576271,0.8830508474576271
macro avg,0.7803878221961861,0.6623938480129742,0.6947883137566458,590.0
weighted avg,0.8797370335574473,0.8830508474576271,0.8721625404611643,590.0
