,precision,recall,f1-score,support
currency,0.8,0.8,0.8,5.0
energy,0.9090909090909091,1.0,0.9523809523809523,10.0
housing,0.8636363636363636,0.95,0.9047619047619048,20.0
interest,0.75,0.8571428571428571,0.8,14.0
jobs,0.9316239316239316,1.0,0.9646017699115044,109.0
macro,0.8666666666666667,0.9069767441860465,0.8863636363636364,86.0
market,0.8928571428571429,0.847457627118644,0.8695652173913043,59.0
none,0.982532751091703,0.907258064516129,0.9433962264150944,248.0
other,0.5,0.5,0.5,6.0
prices,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
retail,0.5,1.0,0.6666666666666666,4.0
wages,0.8666666666666667,0.8125,0.8387096774193549,16.0
accuracy,0.911864406779661,0.911864406779661,0.911864406779661,0.911864406779661
macro avg,0.7997006470805598,0.8689574282597935,0.8260133614187253,590.0
weighted avg,0.9181197829547323,0.911864406779661,0.9131437838362145,590.0
