,precision,recall,f1-score,support
currency,1.0,0.4,0.5714285714285714,5.0
energy,1.0,0.4,0.5714285714285714,10.0
housing,1.0,0.75,0.8571428571428571,20.0
interest,0.8,0.8571428571428571,0.8275862068965517,14.0
jobs,0.9716981132075472,0.944954128440367,0.958139534883721,109.0
macro,0.7373737373737373,0.8488372093023255,0.7891891891891892,86.0
market,0.9230769230769231,0.6101694915254238,0.7346938775510204,59.0
none,0.8373702422145328,0.9758064516129032,0.9013035381750466,248.0
other,0.5,0.16666666666666666,0.25,6.0
prices,0.6666666666666666,0.3076923076923077,0.42105263157894735,13.0
retail,0.3333333333333333,0.25,0.2857142857142857,4.0
wages,1.0,0.625,0.7692307692307693,16.0
accuracy,0.8525423728813559,0.8525423728813559,0.8525423728813559,0.8525423728813559
macro avg,0.8141265846560617,0.594689092698571,0.661409169434961,590.0
weighted avg,0.8587433801432316,0.8525423728813559,0.8422074950634421,590.0
