,precision,recall,f1-score,support
currency,1.0,0.2,0.3333333333333333,5.0
energy,1.0,0.1,0.18181818181818182,10.0
housing,1.0,0.9523809523809523,0.975609756097561,21.0
interest,0.9,0.6428571428571429,0.75,14.0
jobs,0.96,0.8807339449541285,0.9186602870813397,109.0
macro,0.7912087912087912,0.8372093023255814,0.8135593220338984,86.0
market,0.9298245614035088,0.8983050847457628,0.9137931034482759,59.0
none,0.8106312292358804,0.9838709677419355,0.8888888888888888,248.0
other,0.0,0.0,0.0,6.0
prices,0.0,0.0,0.0,13.0
retail,0.6666666666666666,0.5,0.5714285714285714,4.0
wages,1.0,0.4375,0.6086956521739131,16.0
accuracy,0.8544839255499154,0.8544839255499154,0.8544839255499154,0.8544839255499154
macro avg,0.7548609373762373,0.536071449583792,0.5796489246919969,591.0
weighted avg,0.8389963057257667,0.8544839255499154,0.8307204883554453,591.0
