,precision,recall,f1-score,support
currency,1.0,0.4,0.5714285714285714,5.0
energy,1.0,0.1,0.18181818181818182,10.0
housing,1.0,0.5,0.6666666666666666,20.0
interest,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
jobs,0.9714285714285714,0.9357798165137615,0.9532710280373832,109.0
macro,0.6636363636363637,0.8488372093023255,0.7448979591836735,86.0
market,0.9354838709677419,0.4915254237288136,0.6444444444444445,59.0
none,0.7864077669902912,0.9798387096774194,0.8725314183123878,248.0
other,0.0,0.0,0.0,6.0
prices,0.3333333333333333,0.07692307692307693,0.125,13.0
retail,1.0,0.25,0.4,4.0
wages,1.0,0.375,0.5454545454545454,16.0
accuracy,0.811864406779661,0.811864406779661,0.811864406779661,0.811864406779661
macro avg,0.8005797144185806,0.4786348768216402,0.5459722217916417,590.0
weighted avg,0.8226233607216902,0.811864406779661,0.7867540086299147,590.0
