,precision,recall,f1-score,support
currency,0.6666666666666666,0.8,0.7272727272727272,5.0
energy,1.0,0.4,0.5714285714285715,10.0
housing,0.9090909090909091,1.0,0.9523809523809523,20.0
interest,1.0,0.8571428571428571,0.923076923076923,14.0
jobs,0.9196428571428571,0.944954128440367,0.9321266968325792,109.0
macro,0.9382716049382716,0.8837209302325582,0.9101796407185628,86.0
market,0.873015873015873,0.9322033898305084,0.9016393442622951,59.0
none,0.952,0.9596774193548387,0.9558232931726908,248.0
other,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
prices,0.6190476190476191,1.0,0.7647058823529412,13.0
retail,0.3333333333333333,0.25,0.28571428571428575,4.0
wages,0.8,0.5,0.6153846153846154,16.0
accuracy,0.9084745762711864,0.9084745762711864,0.9084745762711864,0.9084745762711864
macro avg,0.7787001830474054,0.7384193381945385,0.7394221888275397,590.0
weighted avg,0.9122584234869545,0.9084745762711864,0.9057113387386351,590.0
