,precision,recall,f1-score,support
currency,1.0,0.8,0.888888888888889,5.0
energy,1.0,0.1,0.18181818181818182,10.0
housing,0.9523809523809523,1.0,0.975609756097561,20.0
interest,1.0,0.8571428571428571,0.923076923076923,14.0
jobs,0.972972972972973,0.972972972972973,0.972972972972973,111.0
macro,0.9571428571428572,0.7790697674418605,0.858974358974359,86.0
market,0.859375,0.9322033898305084,0.8943089430894309,59.0
none,0.0,0.0,0.0,0.0
other,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0
prices,0.46153846153846156,0.9230769230769231,0.6153846153846155,13.0
retail,0.0,0.0,0.0,4.0
wages,1.0,0.375,0.5454545454545454,16.0
accuracy,0.8343023255813954,0.8343023255813954,0.8343023255813954,0.8343023255813954
macro avg,0.7021360388547889,0.5893999369832047,0.5935963210353453,344.0
weighted avg,0.9081347764396456,0.8343023255813954,0.8478523068284838,344.0
