,precision,recall,f1-score,support
currency,0.8,0.8,0.8000000000000002,5.0
energy,1.0,0.4,0.5714285714285715,10.0
housing,0.875,0.7,0.7777777777777777,20.0
interest,1.0,0.8571428571428571,0.923076923076923,14.0
jobs,0.9381443298969072,0.8348623853211009,0.8834951456310681,109.0
macro,0.9342105263157895,0.8255813953488372,0.8765432098765432,86.0
market,0.8709677419354839,0.9152542372881356,0.8925619834710744,59.0
none,0.8293515358361775,0.9798387096774194,0.8983364140480592,248.0
other,0.4,0.3333333333333333,0.3636363636363636,6.0
prices,0.7222222222222222,1.0,0.8387096774193548,13.0
retail,0.0,0.0,0.0,4.0
wages,0.0,0.0,0.0,16.0
accuracy,0.8610169491525423,0.8610169491525423,0.8610169491525423,0.8610169491525423
macro avg,0.6974913630172149,0.6371677431759736,0.6521305055304779,590.0
weighted avg,0.8422966165633479,0.8610169491525423,0.8447631132424901,590.0
