,precision,recall,f1-score,support
currency,1.0,0.6,0.7499999999999999,5.0
energy,1.0,0.1,0.18181818181818182,10.0
housing,0.9523809523809523,1.0,0.975609756097561,20.0
interest,1.0,0.8571428571428571,0.923076923076923,14.0
jobs,0.9642857142857143,0.972972972972973,0.968609865470852,111.0
macro,0.9295774647887324,0.7674418604651163,0.840764331210191,86.0
market,0.859375,0.9322033898305084,0.8943089430894309,59.0
none,0.0,0.0,0.0,0.0
other,0.25,0.3333333333333333,0.28571428571428575,6.0
prices,0.44,0.8461538461538461,0.5789473684210525,13.0
retail,0.0,0.0,0.0,4.0
wages,1.0,0.3125,0.47619047619047616,16.0
accuracy,0.8226744186046512,0.8226744186046512,0.8226744186046512,0.8226744186046512
macro avg,0.6996349276212833,0.5601456883248862,0.5729200109240794,344.0
weighted avg,0.8981108148405941,0.8226744186046512,0.8356068551733559,344.0
