,precision,recall,f1-score,support
currency,1.0,0.6,0.7499999999999999,5.0
energy,1.0,0.1,0.18181818181818182,10.0
housing,0.9523809523809523,1.0,0.975609756097561,20.0
interest,1.0,0.8571428571428571,0.923076923076923,14.0
jobs,0.9813084112149533,0.9459459459459459,0.963302752293578,111.0
macro,0.9571428571428572,0.7790697674418605,0.858974358974359,86.0
market,0.859375,0.9322033898305084,0.8943089430894309,59.0
none,0.0,0.0,0.0,0.0
other,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0
prices,0.46153846153846156,0.9230769230769231,0.6153846153846155,13.0
retail,0.0,0.0,0.0,4.0
wages,1.0,0.4375,0.6086956521739131,16.0
accuracy,0.8255813953488372,0.8255813953488372,0.8255813953488372,0.8255813953488372
macro avg,0.7028306587082872,0.575689351397619,0.5864864874646024,344.0
weighted avg,0.9108244091281916,0.8255813953488372,0.8456546869670091,344.0
