,precision,recall,f1-score,support
currency,0.6,0.6,0.6,5.0
energy,0.8333333333333334,0.5,0.625,10.0
housing,0.9047619047619048,0.95,0.9268292682926829,20.0
interest,1.0,0.8571428571428571,0.923076923076923,14.0
jobs,0.9292035398230089,0.963302752293578,0.9459459459459459,109.0
macro,0.9,0.8372093023255814,0.8674698795180723,86.0
market,0.8888888888888888,0.9491525423728814,0.9180327868852458,59.0
none,0.9322709163346613,0.9435483870967742,0.9378757515030061,248.0
other,0.375,0.5,0.42857142857142855,6.0
prices,0.6875,0.8461538461538461,0.7586206896551724,13.0
retail,0.3333333333333333,0.25,0.28571428571428575,4.0
wages,0.9166666666666666,0.6875,0.7857142857142857,16.0
accuracy,0.9016949152542373,0.9016949152542373,0.9016949152542373,0.9016949152542373
macro avg,0.775079881928483,0.7403341406154599,0.7502376037397541,590.0
weighted avg,0.9032998118046099,0.9016949152542373,0.9005509899759312,590.0
