,precision,recall,f1-score,support
currency,0.6666666666666666,0.4,0.5,5.0
energy,1.0,0.4,0.5714285714285715,10.0
housing,1.0,0.7,0.8235294117647058,20.0
interest,1.0,0.8571428571428571,0.923076923076923,14.0
jobs,0.9591836734693877,0.8623853211009175,0.9082125603864735,109.0
macro,0.8470588235294118,0.8372093023255814,0.8421052631578947,86.0
market,0.875,0.9491525423728814,0.9105691056910569,59.0
none,0.84375,0.9798387096774194,0.9067164179104478,248.0
other,0.5,0.5,0.5,6.0
prices,0.7,0.5384615384615384,0.608695652173913,13.0
retail,0.0,0.0,0.0,4.0
wages,1.0,0.25,0.4,16.0
accuracy,0.8661016949152542,0.8661016949152542,0.8661016949152542,0.8661016949152542
macro avg,0.7826382636387889,0.6061825225900995,0.6578611587991656,590.0
weighted avg,0.8706888348559764,0.8661016949152542,0.8558075676986195,590.0
