,precision,recall,f1-score,support
currency,1.0,0.4,0.5714285714285714,5.0
energy,1.0,0.6,0.75,10.0
housing,1.0,0.85,0.918918918918919,20.0
interest,0.8461538461538461,0.7857142857142857,0.8148148148148148,14.0
jobs,0.9716981132075472,0.944954128440367,0.958139534883721,109.0
macro,0.6944444444444444,0.872093023255814,0.7731958762886598,86.0
market,0.9047619047619048,0.6440677966101694,0.7524752475247525,59.0
none,0.8678571428571429,0.9798387096774194,0.9204545454545454,248.0
other,0.0,0.0,0.0,6.0
prices,0.6,0.23076923076923078,0.3333333333333333,13.0
retail,0.5,0.25,0.3333333333333333,4.0
wages,1.0,0.5625,0.72,16.0
accuracy,0.8610169491525423,0.8610169491525423,0.8610169491525423,0.8610169491525423
macro avg,0.7820762876187404,0.5933280978722738,0.6538411813317208,590.0
weighted avg,0.8591406681652924,0.8610169491525423,0.8490346048295477,590.0
