,precision,recall,f1-score,support
currency,1.0,0.8,0.8888888888888888,5.0
energy,1.0,0.7,0.8235294117647058,10.0
housing,1.0,0.7619047619047619,0.8648648648648649,21.0
interest,0.8,0.8571428571428571,0.8275862068965517,14.0
jobs,0.9532710280373832,0.9357798165137615,0.9444444444444444,109.0
macro,0.8571428571428571,0.8372093023255814,0.8470588235294118,86.0
market,0.9777777777777777,0.7457627118644068,0.8461538461538461,59.0
none,0.8642857142857143,0.9758064516129032,0.9166666666666666,248.0
other,1.0,0.5,0.6666666666666666,6.0
prices,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
retail,0.5,0.5,0.5,4.0
wages,1.0,0.8125,0.896551724137931,16.0
accuracy,0.8917089678510999,0.8917089678510999,0.8917089678510999,0.8917089678510999
macro avg,0.8934756788728752,0.76627805588292,0.8159701927703956,591.0
weighted avg,0.8982277052489112,0.8917089678510999,0.8897137880395878,591.0
