,precision,recall,f1-score,support
currency,1.0,0.8,0.8888888888888888,5.0
energy,1.0,1.0,1.0,10.0
housing,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
interest,0.75,0.8571428571428571,0.8,14.0
jobs,0.9469026548672567,0.981651376146789,0.963963963963964,109.0
macro,0.8690476190476191,0.8488372093023255,0.8588235294117647,86.0
market,0.96,0.8135593220338984,0.8807339449541285,59.0
none,0.9411764705882353,0.967741935483871,0.9542743538767395,248.0
other,0.75,0.5,0.6,6.0
prices,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
retail,0.6,0.75,0.6666666666666666,4.0
wages,0.9285714285714286,0.8125,0.8666666666666667,16.0
accuracy,0.9204737732656514,0.9204737732656514,0.9204737732656514,0.9204737732656514
macro avg,0.8692843715657355,0.8441639582203783,0.8515094377103382,591.0
weighted avg,0.9218151023942212,0.9204737732656514,0.919706094090139,591.0
