,precision,recall,f1-score,support
currency,0.6,0.6,0.6,5.0
energy,1.0,0.2,0.33333333333333337,10.0
housing,0.9333333333333333,0.7,0.8,20.0
interest,1.0,0.6428571428571429,0.782608695652174,14.0
jobs,0.9315068493150684,0.6238532110091743,0.7472527472527473,109.0
macro,0.9344262295081968,0.6627906976744186,0.7755102040816327,86.0
market,0.9047619047619048,0.6440677966101694,0.7524752475247525,59.0
none,0.6845070422535211,0.9798387096774194,0.8059701492537312,248.0
other,0.4,0.3333333333333333,0.3636363636363636,6.0
prices,0.75,0.6923076923076923,0.7199999999999999,13.0
retail,0.0,0.0,0.0,4.0
wages,1.0,0.5625,0.72,16.0
accuracy,0.7694915254237288,0.7694915254237288,0.7694915254237288,0.7694915254237288
macro avg,0.7615446132643354,0.5534623819557792,0.6167322283945612,590.0
weighted avg,0.8116106234568469,0.7694915254237288,0.7606317574148094,590.0
