,precision,recall,f1-score,support
currency,0.8,0.8,0.8,5.0
energy,1.0,0.7,0.8235294117647058,10.0
housing,0.9130434782608695,1.0,0.9545454545454546,21.0
interest,0.75,0.8571428571428571,0.8,14.0
jobs,0.9304347826086956,0.981651376146789,0.9553571428571429,109.0
macro,0.9722222222222222,0.813953488372093,0.8860759493670886,86.0
market,0.9411764705882353,0.8135593220338984,0.8727272727272727,59.0
none,0.9212598425196851,0.9435483870967742,0.9322709163346613,248.0
other,0.2727272727272727,0.5,0.35294117647058826,6.0
prices,0.8,0.9230769230769231,0.8571428571428571,13.0
retail,0.42857142857142855,0.75,0.5454545454545454,4.0
wages,0.8,0.75,0.7741935483870968,16.0
accuracy,0.9018612521150592,0.9018612521150592,0.9018612521150592,0.9018612521150592
macro avg,0.7941196247915342,0.8194110294891113,0.796186522920951,591.0
weighted avg,0.912444868898772,0.9018612521150592,0.9041298212854437,591.0
