,precision,recall,f1-score,support
currency,0.75,0.6,0.6666666666666666,5.0
energy,1.0,0.8,0.8888888888888888,10.0
housing,1.0,0.65,0.7878787878787878,20.0
interest,0.75,0.8571428571428571,0.8,14.0
jobs,0.9615384615384616,0.9174311926605505,0.9389671361502347,109.0
macro,0.8295454545454546,0.8488372093023255,0.8390804597701149,86.0
market,0.9361702127659575,0.7457627118644068,0.8301886792452831,59.0
none,0.8731884057971014,0.9717741935483871,0.9198473282442748,248.0
other,0.75,0.5,0.6,6.0
prices,0.75,0.6923076923076923,0.72,13.0
retail,0.5,0.5,0.5,4.0
wages,0.8571428571428571,0.75,0.8,16.0
accuracy,0.8813559322033898,0.8813559322033898,0.8813559322033898,0.8813559322033898
macro avg,0.8297987826491527,0.7361046547355183,0.7742931622370209,590.0
weighted avg,0.8849960242436605,0.8813559322033898,0.8789006861702633,590.0
