,precision,recall,f1-score,support
currency,1.0,1.0,1.0,1.0
jobs,0.9565217391304348,0.9166666666666666,0.9361702127659574,24.0
macro,1.0,0.75,0.8571428571428571,16.0
market,1.0,1.0,1.0,9.0
none,0.0,0.0,0.0,0.0
other,0.0,0.0,0.0,0.0
prices,0.75,1.0,0.8571428571428571,3.0
retail,0.0,0.0,0.0,2.0
wages,1.0,1.0,1.0,1.0
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
macro avg,0.6340579710144927,0.6296296296296295,0.6278284363390747,56.0
weighted avg,0.9322593167701864,0.8571428571428571,0.8884607034303083,56.0
