,precision,recall,f1-score,support
currency,0.5,1.0,0.6666666666666666,1.0
jobs,0.9545454545454546,0.875,0.9130434782608695,24.0
macro,1.0,0.75,0.8571428571428571,16.0
market,1.0,1.0,1.0,9.0
none,0.9230769230769231,0.9795918367346939,0.9504950495049506,49.0
prices,0.75,1.0,0.8571428571428571,3.0
retail,0.3333333333333333,0.5,0.4,2.0
wages,1.0,1.0,1.0,1.0
accuracy,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143
macro avg,0.8076194638694638,0.8880739795918368,0.8305613635897751,105.0
weighted avg,0.9291097791097791,0.9142857142857143,0.9165683986322325,105.0
