,precision,recall,f1-score,support
currency,1.0,1.0,1.0,1.0
interest,0.6666666666666666,1.0,0.8,2.0
jobs,1.0,0.8695652173913043,0.9302325581395349,23.0
macro,0.9166666666666666,0.9565217391304348,0.9361702127659575,23.0
market,1.0,0.8695652173913043,0.9302325581395349,23.0
none,0.8947368421052632,0.9622641509433962,0.9272727272727272,53.0
other,1.0,1.0,1.0,2.0
prices,0.8571428571428571,1.0,0.9230769230769231,6.0
retail,0.0,0.0,0.0,1.0
wages,1.0,1.0,1.0,1.0
accuracy,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259
macro avg,0.8335213032581453,0.8657916324856441,0.8446984979394678,135.0
weighted avg,0.9257820477118722,0.9259259259259259,0.9230113233477903,135.0
