,precision,recall,f1-score,support
currency,1.0,1.0,1.0,1.0
interest,0.4,1.0,0.5714285714285714,2.0
jobs,1.0,0.9565217391304348,0.9777777777777777,23.0
macro,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0
market,0.9333333333333333,0.6086956521739131,0.7368421052631579,23.0
none,0.9622641509433962,0.9622641509433962,0.9622641509433962,53.0
other,0.25,1.0,0.4,2.0
prices,0.8571428571428571,1.0,0.9230769230769231,6.0
retail,0.0,0.0,0.0,1.0
wages,1.0,1.0,1.0,1.0
accuracy,0.8962962962962963,0.8962962962962963,0.8962962962962963,0.8962962962962963
macro avg,0.7359262080550022,0.8484003281378178,0.7527911267620262,135.0
weighted avg,0.9326631393298059,0.8962962962962963,0.9030931554908164,135.0
