,precision,recall,f1-score,support
currency,0.5,1.0,0.6666666666666666,1.0
jobs,0.9230769230769231,0.5,0.6486486486486487,24.0
macro,1.0,0.6875,0.8148148148148148,16.0
market,1.0,0.7777777777777778,0.8750000000000001,9.0
none,0.75,0.9795918367346939,0.8495575221238937,49.0
other,0.0,0.0,0.0,0.0
prices,0.75,1.0,0.8571428571428571,3.0
retail,0.0,0.0,0.0,2.0
wages,1.0,1.0,1.0,1.0
accuracy,0.7904761904761904,0.7904761904761904,0.7904761904761904,0.7904761904761904
macro avg,0.6581196581196581,0.6605410682791635,0.6346478343774312,105.0
weighted avg,0.8347985347985348,0.7904761904761904,0.7842477945406726,105.0
