,precision,recall,f1-score,support
,0.0,0.0,0.0,13.0
business,0.0,0.0,0.0,18.0
government,0.0,0.0,0.0,22.0
industry,0.1111111111111111,1.0,0.19999999999999998,2.0
macro,0.5523809523809524,0.9508196721311475,0.6987951807228915,61.0
other,0.0,0.0,0.0,1.0
personal,0.0,0.0,0.0,6.0
accuracy,0.4878048780487805,0.4878048780487805,0.4878048780487805,0.4878048780487805
macro avg,0.09478458049886622,0.2786885245901639,0.12839931153184164,123.0
weighted avg,0.27575170989805137,0.4878048780487805,0.3498089920658242,123.0
