,precision,recall,f1-score,support
currency,0.0,0.0,0.0,2.0
housing,1.0,0.5,0.6666666666666666,2.0
interest,0.7142857142857143,1.0,0.8333333333333334,5.0
jobs,0.9523809523809523,0.975609756097561,0.963855421686747,41.0
macro,0.7272727272727273,0.64,0.6808510638297872,25.0
market,0.0,0.0,0.0,0.0
none,0.75,0.9090909090909091,0.821917808219178,33.0
other,0.0,0.0,0.0,2.0
prices,0.0,0.0,0.0,3.0
retail,0.3333333333333333,1.0,0.5,1.0
wages,1.0,0.7142857142857143,0.8333333333333334,7.0
accuracy,0.8099173553719008,0.8099173553719008,0.8099173553719008,0.8099173553719008
macro avg,0.4979338842975206,0.5217260344976531,0.4818143297335496,121.0
weighted avg,0.7841669349933813,0.8099173553719008,0.7892228916484918,121.0
