,precision,recall,f1-score,support
currency,0.0,0.0,0.0,2.0
housing,1.0,1.0,1.0,3.0
interest,1.0,1.0,1.0,5.0
jobs,0.926829268292683,0.926829268292683,0.926829268292683,41.0
macro,0.7619047619047619,0.64,0.6956521739130435,25.0
none,0.6739130434782609,0.9393939393939394,0.7848101265822784,33.0
other,0.0,0.0,0.0,2.0
prices,0.0,0.0,0.0,3.0
retail,1.0,1.0,1.0,1.0
wages,1.0,0.7142857142857143,0.8333333333333334,7.0
accuracy,0.8114754098360656,0.8114754098360656,0.8114754098360656,0.8114754098360656
macro avg,0.6362647073675706,0.6220508921972336,0.6240624902121338,122.0
weighted avg,0.7810389301836201,0.8114754098360656,0.7878964906424147,122.0
