,precision,recall,f1-score,support
currency,1.0,1.0,1.0,2.0
housing,1.0,1.0,1.0,2.0
interest,1.0,1.0,1.0,7.0
jobs,0.8888888888888888,1.0,0.9411764705882353,40.0
macro,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
market,1.0,1.0,1.0,14.0
none,0.8823529411764706,0.8333333333333334,0.8571428571428571,18.0
other,1.0,0.3333333333333333,0.5,3.0
prices,0.5,1.0,0.6666666666666666,3.0
wages,1.0,0.5384615384615384,0.7000000000000001,13.0
accuracy,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439
macro avg,0.9180332739156268,0.8657509157509157,0.8595218552537295,123.0
weighted avg,0.9189334763222856,0.9024390243902439,0.8960204388051305,123.0
