,precision,recall,f1-score,support
currency,1.0,1.0,1.0,2.0
housing,1.0,1.0,1.0,2.0
interest,1.0,1.0,1.0,7.0
jobs,0.8888888888888888,1.0,0.9411764705882353,40.0
macro,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
market,1.0,1.0,1.0,14.0
none,1.0,0.7777777777777778,0.8750000000000001,18.0
other,0.5,0.3333333333333333,0.4,3.0
prices,0.5,1.0,0.6666666666666666,3.0
wages,1.0,0.6923076923076923,0.8181818181818181,13.0
accuracy,0.9105691056910569,0.9105691056910569,0.9105691056910569,0.9105691056910569
macro avg,0.8797979797979798,0.8755799755799755,0.8631257513576255,123.0
weighted avg,0.9239549971257288,0.9105691056910569,0.9086854161042544,123.0
