,precision,recall,f1-score,support
currency,0.0,0.0,0.0,2.0
housing,1.0,1.0,1.0,2.0
interest,1.0,1.0,1.0,7.0
jobs,0.9767441860465116,1.0,0.988235294117647,42.0
macro,0.7777777777777778,0.6666666666666666,0.717948717948718,21.0
market,0.9333333333333333,1.0,0.9655172413793104,14.0
none,0.0,0.0,0.0,0.0
other,0.0,0.0,0.0,3.0
prices,0.25,0.6666666666666666,0.36363636363636365,3.0
wages,1.0,0.23076923076923078,0.375,13.0
accuracy,0.7850467289719626,0.7850467289719626,0.7850467289719626,0.7850467289719626
macro avg,0.5937855297157623,0.5564102564102564,0.5410337617082039,107.0
weighted avg,0.8707780917191915,0.7850467289719626,0.7950089336456418,107.0
