,precision,recall,f1-score,support
currency,0.0,0.0,0.0,2.0
housing,0.0,0.0,0.0,2.0
interest,1.0,1.0,1.0,7.0
jobs,0.95,0.475,0.6333333333333334,40.0
macro,0.8888888888888888,0.7619047619047619,0.8205128205128205,21.0
market,1.0,1.0,1.0,14.0
none,0.29508196721311475,1.0,0.4556962025316456,18.0
other,0.0,0.0,0.0,3.0
prices,1.0,1.0,1.0,3.0
wages,0.0,0.0,0.0,13.0
accuracy,0.6260162601626016,0.6260162601626016,0.6260162601626016,0.6260162601626016
macro avg,0.5133970856102004,0.5236904761904763,0.49095423563777996,123.0
weighted avg,0.699009285174819,0.6260162601626016,0.607858814712782,123.0
