,precision,recall,f1-score,support
currency,0.6666666666666666,1.0,0.8,2.0
housing,1.0,1.0,1.0,2.0
interest,1.0,0.8571428571428571,0.923076923076923,7.0
jobs,0.8888888888888888,1.0,0.9411764705882353,40.0
macro,0.8695652173913043,0.9523809523809523,0.909090909090909,21.0
market,1.0,0.9285714285714286,0.962962962962963,14.0
none,0.9333333333333333,0.7777777777777778,0.8484848484848485,18.0
other,0.5,0.3333333333333333,0.4,3.0
prices,0.5,1.0,0.6666666666666666,3.0
wages,1.0,0.6153846153846154,0.761904761904762,13.0
accuracy,0.8861788617886179,0.8861788617886179,0.8861788617886179,0.8861788617886179
macro avg,0.8358454106280192,0.8464590964590964,0.8213363542775308,123.0
weighted avg,0.9020305565374493,0.8861788617886179,0.8834022523166474,123.0
