,precision,recall,f1-score,support
currency,0.0,0.0,0.0,2.0
housing,1.0,1.0,1.0,2.0
interest,1.0,1.0,1.0,7.0
jobs,1.0,1.0,1.0,42.0
macro,0.8235294117647058,0.6666666666666666,0.7368421052631577,21.0
market,0.9333333333333333,1.0,0.9655172413793104,14.0
none,0.0,0.0,0.0,0.0
other,0.0,0.0,0.0,3.0
prices,0.3333333333333333,1.0,0.5,3.0
wages,1.0,0.3076923076923077,0.47058823529411764,13.0
accuracy,0.8037383177570093,0.8037383177570093,0.8037383177570093,0.8037383177570093
macro avg,0.6090196078431372,0.5974358974358973,0.5672947581936586,107.0
weighted avg,0.8912222833058457,0.8037383177570093,0.8187717069968241,107.0
