,precision,recall,f1-score,support
currency,0.0,0.0,0.0,2.0
housing,1.0,0.3333333333333333,0.5,3.0
interest,0.7142857142857143,1.0,0.8333333333333334,5.0
jobs,0.9761904761904762,1.0,0.9879518072289156,41.0
macro,0.7727272727272727,0.68,0.723404255319149,25.0
market,0.0,0.0,0.0,0.0
none,0.75,0.9090909090909091,0.821917808219178,33.0
other,0.0,0.0,0.0,2.0
prices,1.0,0.3333333333333333,0.5,3.0
retail,0.3333333333333333,1.0,0.5,1.0
wages,1.0,0.5714285714285714,0.7272727272727273,7.0
accuracy,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541
macro avg,0.5951397087760724,0.5297441951987406,0.5085345392157549,122.0
weighted avg,0.8278422397274856,0.819672131147541,0.8071474910505975,122.0
