,precision,recall,f1-score,support
currency,1.0,0.5,0.6666666666666666,2.0
housing,1.0,0.5,0.6666666666666666,2.0
interest,0.7142857142857143,1.0,0.8333333333333334,5.0
jobs,0.9534883720930233,1.0,0.9761904761904762,41.0
macro,0.8260869565217391,0.76,0.7916666666666666,25.0
none,0.8333333333333334,0.9090909090909091,0.8695652173913043,33.0
other,1.0,0.5,0.6666666666666666,2.0
prices,1.0,0.3333333333333333,0.5,3.0
retail,0.3333333333333333,1.0,0.5,1.0
wages,1.0,0.7142857142857143,0.8333333333333334,7.0
accuracy,0.8677685950413223,0.8677685950413223,0.8677685950413223,0.8677685950413223
macro avg,0.8660527709567143,0.7216709956709957,0.7304089026915114,121.0
weighted avg,0.8855368518480936,0.8677685950413223,0.8637283335899936,121.0
