,precision,recall,f1-score,support
energy,1.0,0.2222222222222222,0.3636363636363636,9.0
interest,1.0,0.75,0.8571428571428571,4.0
jobs,1.0,0.7692307692307693,0.8695652173913044,13.0
macro,0.75,1.0,0.8571428571428571,15.0
market,0.2857142857142857,1.0,0.4444444444444445,2.0
none,0.922077922077922,0.9726027397260274,0.9466666666666667,73.0
other,1.0,0.5,0.6666666666666666,2.0
prices,1.0,0.5,0.6666666666666666,4.0
wages,0.0,0.0,0.0,1.0
accuracy,0.8617886178861789,0.8617886178861789,0.8617886178861789,0.8617886178861789
macro avg,0.773088023088023,0.6348950812421132,0.6302146377508697,123.0
weighted avg,0.903521275472495,0.8617886178861789,0.8525068694315778,123.0
