,precision,recall,f1-score,support
energy,0.0,0.0,0.0,9.0
interest,1.0,0.5,0.6666666666666666,4.0
jobs,1.0,0.3076923076923077,0.47058823529411764,13.0
macro,0.8,0.26666666666666666,0.4,15.0
market,0.5,1.0,0.6666666666666666,2.0
none,0.7019230769230769,1.0,0.8248587570621468,73.0
other,1.0,0.5,0.6666666666666666,2.0
prices,1.0,0.75,0.8571428571428571,4.0
wages,0.0,0.0,0.0,1.0
accuracy,0.7235772357723578,0.7235772357723578,0.7235772357723578,0.7235772357723578
macro avg,0.6668803418803418,0.4804843304843305,0.5058433166110134,123.0
weighted avg,0.7092714196372732,0.7235772357723578,0.6593027730590652,123.0
