,precision,recall,f1-score,support
energy,1.0,0.3333333333333333,0.5,9.0
interest,1.0,1.0,1.0,4.0
jobs,1.0,0.9230769230769231,0.9600000000000001,13.0
macro,0.8333333333333334,1.0,0.9090909090909091,15.0
market,0.2857142857142857,1.0,0.4444444444444445,2.0
none,0.9726027397260274,0.9726027397260274,0.9726027397260274,73.0
other,1.0,0.5,0.6666666666666666,2.0
prices,1.0,1.0,1.0,4.0
wages,0.0,0.0,0.0,1.0
accuracy,0.9105691056910569,0.9105691056910569,0.9105691056910569,0.9105691056910569
macro avg,0.7879611509748496,0.7476681106818093,0.716978306658672,123.0
weighted avg,0.9436701509872242,0.9105691056910569,0.9092567955982589,123.0
