,precision,recall,f1-score,support
energy,1.0,0.4444444444444444,0.6153846153846153,9.0
interest,1.0,1.0,1.0,4.0
jobs,0.9285714285714286,1.0,0.962962962962963,13.0
macro,0.8333333333333334,1.0,0.9090909090909091,15.0
market,0.3333333333333333,1.0,0.5,2.0
none,1.0,0.958904109589041,0.9790209790209791,73.0
other,1.0,1.0,1.0,2.0
prices,0.75,0.75,0.75,4.0
wages,1.0,1.0,1.0,1.0
accuracy,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683
macro avg,0.8716931216931216,0.9059276171148317,0.857384385162163,123.0
weighted avg,0.9531552458381727,0.926829268292683,0.9281453265193103,123.0
