,precision,recall,f1-score,support
energy,0.0,0.0,0.0,9.0
housing,1.0,1.0,1.0,3.0
interest,1.0,0.75,0.8571428571428571,4.0
jobs,1.0,0.8461538461538461,0.9166666666666666,13.0
macro,0.5714285714285714,1.0,0.7272727272727273,4.0
market,0.4,1.0,0.5714285714285714,2.0
none,0.8873239436619719,1.0,0.9402985074626866,63.0
other,0.0,0.0,0.0,1.0
prices,0.0,0.0,0.0,1.0
accuracy,0.86,0.86,0.86,0.86
macro avg,0.539861390565616,0.6217948717948718,0.556978814441501,100.0
weighted avg,0.7898712273641851,0.86,0.8163599211733541,100.0
