,precision,recall,f1-score,support
energy,1.0,0.4444444444444444,0.6153846153846153,9.0
interest,1.0,1.0,1.0,4.0
jobs,1.0,1.0,1.0,13.0
macro,0.8333333333333334,1.0,0.9090909090909091,15.0
market,0.3333333333333333,1.0,0.5,2.0
none,0.9861111111111112,0.9726027397260274,0.9793103448275863,73.0
other,1.0,1.0,1.0,2.0
prices,0.75,0.75,0.75,4.0
wages,0.0,0.0,0.0,1.0
accuracy,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683
macro avg,0.7669753086419754,0.7963385760189413,0.7504206521447901,123.0
weighted avg,0.9443315266485999,0.926829268292683,0.9241014662377153,123.0
