,precision,recall,f1-score,support
currency,1.0,0.5,0.6666666666666666,2.0
housing,1.0,0.8571428571428571,0.9230769230769231,7.0
interest,0.0,0.0,0.0,2.0
jobs,1.0,0.8,0.8888888888888888,5.0
macro,0.9523809523809523,0.8695652173913043,0.9090909090909091,23.0
market,0.9285714285714286,0.65,0.7647058823529411,20.0
none,0.7407407407407407,1.0,0.851063829787234,40.0
other,0.0,0.0,0.0,1.0
prices,0.0,0.0,0.0,0.0
retail,0.0,0.0,0.0,2.0
accuracy,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058
macro avg,0.5621693121693122,0.46767080745341616,0.5003493099863563,102.0
weighted avg,0.82456686378255,0.8235294117647058,0.8086772351662287,102.0
