,precision,recall,f1-score,support
currency,1.0,0.5,0.6666666666666666,2.0
housing,0.8571428571428571,0.6,0.7058823529411764,10.0
interest,0.0,0.0,0.0,2.0
jobs,0.6,0.6,0.6,5.0
macro,1.0,0.8260869565217391,0.9047619047619047,23.0
market,0.85,0.85,0.85,20.0
none,0.86,0.9555555555555556,0.9052631578947369,45.0
other,0.0,0.0,0.0,1.0
prices,0.0,0.0,0.0,0.0
retail,0.0,0.0,0.0,2.0
wages,0.0,0.0,0.0,0.0
accuracy,0.8090909090909091,0.8090909090909091,0.8090909090909091,0.8090909090909091
macro avg,0.46974025974025974,0.3937856829161177,0.42114309838768044,110.0
weighted avg,0.8388311688311688,0.8090909090909091,0.8176229343412007,110.0
