,precision,recall,f1-score,support
currency,0.0,0.0,0.0,2.0
housing,1.0,0.8,0.888888888888889,10.0
interest,0.0,0.0,0.0,2.0
jobs,0.6,0.6,0.6,5.0
macro,1.0,0.8260869565217391,0.9047619047619047,23.0
market,0.8181818181818182,0.9,0.8571428571428572,20.0
none,0.8936170212765957,0.9333333333333333,0.9130434782608695,45.0
other,0.0,0.0,0.0,1.0
prices,0.0,0.0,0.0,0.0
retail,0.0,0.0,0.0,2.0
wages,0.0,0.0,0.0,0.0
accuracy,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
macro avg,0.3919817126780376,0.36903820816864297,0.3785306480958655,110.0
weighted avg,0.8416036574643924,0.8181818181818182,0.8266202396637178,110.0
