,precision,recall,f1-score,support
currency,1.0,0.5,0.6666666666666666,2.0
housing,1.0,0.7142857142857143,0.8333333333333334,7.0
interest,0.0,0.0,0.0,2.0
jobs,0.0,0.0,0.0,5.0
macro,1.0,0.8260869565217391,0.9047619047619048,23.0
market,1.0,0.9,0.9473684210526315,20.0
none,0.7551020408163265,0.925,0.8314606741573034,40.0
other,0.0,0.0,0.0,1.0
prices,0.0,0.0,0.0,0.0
retail,1.0,1.0,1.0,2.0
wages,0.0,0.0,0.0,0.0
accuracy,0.803921568627451,0.803921568627451,0.803921568627451,0.803921568627451
macro avg,0.5231910946196661,0.4423066064370413,0.47123554545198537,102.0
weighted avg,0.8255302120848339,0.803921568627451,0.8057057437601495,102.0
