,precision,recall,f1-score,support
currency,1.0,0.5,0.6666666666666666,2.0
housing,1.0,1.0,1.0,7.0
interest,0.0,0.0,0.0,2.0
jobs,0.8,0.8,0.8,5.0
macro,0.9090909090909091,0.8695652173913043,0.8888888888888888,23.0
market,0.9375,0.75,0.8333333333333334,20.0
none,0.8163265306122449,1.0,0.898876404494382,40.0
other,0.0,0.0,0.0,1.0
prices,0.0,0.0,0.0,0.0
retail,0.0,0.0,0.0,2.0
accuracy,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882
macro avg,0.5462917439703154,0.49195652173913035,0.5087765293383271,102.0
weighted avg,0.8363936483684382,0.8529411764705882,0.8372500061198013,102.0
