,precision,recall,f1-score,support
currency,0.0,0.0,0.0,2.0
housing,1.0,1.0,1.0,10.0
interest,0.0,0.0,0.0,2.0
jobs,0.6666666666666666,0.8,0.7272727272727272,5.0
macro,1.0,0.8260869565217391,0.9047619047619047,23.0
market,0.9,0.9,0.9,20.0
none,0.9166666666666666,0.9777777777777777,0.946236559139785,45.0
other,0.0,0.0,0.0,1.0
prices,0.0,0.0,0.0,0.0
retail,0.0,0.0,0.0,2.0
accuracy,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636
macro avg,0.44833333333333325,0.45038647342995175,0.4478271191174416,110.0
weighted avg,0.8689393939393939,0.8636363636363636,0.8638775691561615,110.0
