,precision,recall,f1-score,support
currency,1.0,1.0,1.0,2.0
housing,1.0,1.0,1.0,7.0
interest,0.0,0.0,0.0,2.0
jobs,0.6,0.6,0.6,5.0
macro,0.9473684210526315,0.782608695652174,0.8571428571428571,23.0
market,1.0,0.9,0.9473684210526315,20.0
none,0.8809523809523809,0.925,0.9024390243902439,40.0
other,0.0,0.0,0.0,1.0
prices,0.0,0.0,0.0,0.0
retail,1.0,1.0,1.0,2.0
wages,0.0,0.0,0.0,0.0
accuracy,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882
macro avg,0.5843928001822739,0.5643280632411067,0.5733591184168848,102.0
weighted avg,0.8924271462971153,0.8529411764705882,0.8701883834406677,102.0
