,precision,recall,f1-score,support
energy,1.0,1.0,1.0,1.0
housing,1.0,0.5,0.6666666666666666,8.0
interest,1.0,1.0,1.0,1.0
jobs,1.0,0.7037037037037037,0.8260869565217391,27.0
macro,0.9,0.8181818181818182,0.8571428571428572,11.0
market,1.0,0.9285714285714286,0.962962962962963,14.0
none,0.7974683544303798,1.0,0.8873239436619719,63.0
prices,1.0,0.6666666666666666,0.8,3.0
wages,0.0,0.0,0.0,1.0
accuracy,0.8682170542635659,0.8682170542635659,0.8682170542635659,0.8682170542635659
macro avg,0.8552742616033755,0.7352359574581797,0.7777981541062443,129.0
weighted avg,0.8848101265822784,0.8682170542635659,0.8592956784509878,129.0
