,precision,recall,f1-score,support
energy,1.0,1.0,1.0,1.0
housing,1.0,1.0,1.0,8.0
interest,1.0,1.0,1.0,1.0
jobs,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0
macro,0.5,0.8181818181818182,0.6206896551724138,11.0
market,1.0,0.35714285714285715,0.5263157894736842,14.0
none,0.8923076923076924,0.9830508474576272,0.9354838709677419,59.0
prices,0.0,0.0,0.0,3.0
wages,1.0,0.875,0.9333333333333333,8.0
accuracy,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636
macro avg,0.8131370686926243,0.7732557165231364,0.7713053972081221,132.0
weighted avg,0.8723193473193473,0.8636363636363636,0.8473956235855422,132.0
