,precision,recall,f1-score,support
currency,0.0,0.0,0.0,0.0
energy,1.0,1.0,1.0,1.0
housing,0.8888888888888888,1.0,0.9411764705882353,8.0
interest,1.0,1.0,1.0,1.0
jobs,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
macro,1.0,0.9090909090909091,0.9523809523809523,11.0
market,1.0,0.9285714285714286,0.962962962962963,14.0
none,0.9682539682539683,0.9682539682539683,0.9682539682539683,63.0
prices,0.75,1.0,0.8571428571428571,3.0
wages,0.0,0.0,0.0,1.0
accuracy,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233
macro avg,0.7570105820105819,0.776887926887927,0.7644880174291939,129.0
weighted avg,0.9562876830318691,0.9534883720930233,0.9539419557659411,129.0
