,precision,recall,f1-score,support
energy,1.0,1.0,1.0,1.0
housing,1.0,1.0,1.0,8.0
interest,1.0,1.0,1.0,1.0
jobs,1.0,1.0,1.0,27.0
macro,1.0,0.8181818181818182,0.9,11.0
market,1.0,0.9285714285714286,0.962962962962963,14.0
none,0.0,0.0,0.0,0.0
prices,1.0,0.6666666666666666,0.8,3.0
wages,0.0,0.0,0.0,1.0
accuracy,0.9242424242424242,0.9242424242424242,0.9242424242424242,0.9242424242424242
macro avg,0.7777777777777778,0.7126022126022126,0.7403292181069959,66.0
weighted avg,0.9848484848484849,0.9242424242424242,0.9512345679012346,66.0
