,precision,recall,f1-score,support
energy,1.0,1.0,1.0,1.0
housing,0.75,0.375,0.5,8.0
interest,1.0,1.0,1.0,1.0
jobs,1.0,0.8518518518518519,0.92,27.0
macro,1.0,0.8181818181818182,0.9,11.0
market,1.0,0.9285714285714286,0.962962962962963,14.0
none,0.8266666666666667,0.9841269841269841,0.898550724637681,63.0
prices,1.0,1.0,1.0,3.0
wages,0.0,0.0,0.0,1.0
accuracy,0.8914728682170543,0.8914728682170543,0.8914728682170543,0.8914728682170543
macro avg,0.8418518518518519,0.773081342525787,0.7979459652889604,129.0
weighted avg,0.892093023255814,0.8914728682170543,0.8824044739043054,129.0
