,precision,recall,f1-score,support
energy,1.0,1.0,1.0,1.0
housing,0.8888888888888888,1.0,0.9411764705882353,8.0
interest,1.0,1.0,1.0,1.0
jobs,0.9615384615384616,0.9259259259259259,0.9433962264150944,27.0
macro,1.0,0.9090909090909091,0.9523809523809523,11.0
market,1.0,1.0,1.0,14.0
none,0.9047619047619048,0.9661016949152542,0.9344262295081968,59.0
prices,1.0,1.0,1.0,3.0
wages,1.0,0.625,0.7692307692307693,8.0
accuracy,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9393939393939394
macro avg,0.9727988061321393,0.9362353922146767,0.9489567386803609,132.0
weighted avg,0.9428303178303178,0.9393939393939394,0.9375931367343461,132.0
