,precision,recall,f1-score,support
energy,0.0,0.0,0.0,1.0
housing,0.8571428571428571,0.75,0.8,8.0
interest,1.0,1.0,1.0,1.0
jobs,0.9565217391304348,0.8148148148148148,0.88,27.0
macro,0.5714285714285714,0.7272727272727273,0.64,11.0
market,1.0,0.42857142857142855,0.6,14.0
none,0.8169014084507042,0.9830508474576272,0.8923076923076924,59.0
prices,1.0,1.0,1.0,3.0
wages,1.0,0.875,0.9333333333333333,8.0
accuracy,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.8409090909090909
macro avg,0.8002216195725075,0.730967757568511,0.7495156695156695,132.0
weighted avg,0.8573191454391699,0.8409090909090909,0.8311577311577312,132.0
