,precision,recall,f1-score,support
energy,1.0,1.0,1.0,1.0
housing,0.7777777777777778,0.875,0.8235294117647058,8.0
interest,0.3333333333333333,1.0,0.5,1.0
jobs,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
macro,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
market,1.0,0.9285714285714286,0.9629629629629629,14.0
none,0.9491525423728814,0.9491525423728814,0.9491525423728814,59.0
prices,1.0,1.0,1.0,3.0
wages,1.0,0.75,0.8571428571428571,8.0
accuracy,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.9318181818181818
macro avg,0.8813686139486516,0.9305308714442424,0.8849824051441421,132.0
weighted avg,0.9436026936026937,0.9318181818181818,0.9350519669147119,132.0
