,precision,recall,f1-score,support
currency,1.0,0.4,0.5714285714285714,5.0
energy,1.0,0.3,0.46153846153846156,10.0
housing,1.0,0.9,0.9473684210526315,20.0
interest,0.8461538461538461,0.7857142857142857,0.8148148148148148,14.0
jobs,0.9622641509433962,0.9357798165137615,0.9488372093023256,109.0
macro,0.6981132075471698,0.8604651162790697,0.7708333333333334,86.0
market,0.9428571428571428,0.559322033898305,0.7021276595744681,59.0
none,0.8287671232876712,0.9758064516129032,0.8962962962962963,248.0
other,0.0,0.0,0.0,6.0
prices,0.5,0.15384615384615385,0.23529411764705882,13.0
retail,0.5,0.25,0.3333333333333333,4.0
wages,1.0,0.5625,0.72,16.0
accuracy,0.8423728813559322,0.8423728813559322,0.8423728813559322,0.8423728813559322
macro avg,0.7731796225657689,0.5569528214887066,0.6168226848601078,590.0
weighted avg,0.8431076273761942,0.8423728813559322,0.8256972814249625,590.0
