,precision,recall,f1-score,support
currency,0.8,0.8,0.8,5.0
energy,1.0,1.0,1.0,10.0
housing,0.95,0.95,0.95,20.0
interest,0.75,0.8571428571428571,0.8,14.0
jobs,0.9385964912280702,0.981651376146789,0.9596412556053812,109.0
macro,0.8666666666666667,0.9069767441860465,0.8863636363636364,86.0
market,0.9433962264150944,0.847457627118644,0.8928571428571429,59.0
none,0.9793388429752066,0.9556451612903226,0.9673469387755103,248.0
other,0.6,0.5,0.5454545454545454,6.0
prices,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
retail,0.6666666666666666,1.0,0.8,4.0
wages,0.9285714285714286,0.8125,0.8666666666666667,16.0
accuracy,0.9288135593220339,0.9288135593220339,0.9288135593220339,0.9288135593220339
macro avg,0.8463808046547054,0.8714606343365422,0.8545037059530975,590.0
weighted avg,0.9314133968655555,0.9288135593220339,0.9290889177742999,590.0
