,precision,recall,f1-score,support
currency,0.8,0.8,0.8,5.0
energy,1.0,1.0,1.0,10.0
housing,0.95,0.95,0.95,20.0
interest,0.75,0.8571428571428571,0.8,14.0
jobs,0.9469026548672567,0.981651376146789,0.963963963963964,109.0
macro,0.8666666666666667,0.9069767441860465,0.8863636363636364,86.0
market,0.9433962264150944,0.847457627118644,0.8928571428571429,59.0
none,0.9752066115702479,0.9516129032258065,0.963265306122449,248.0
other,0.5,0.5,0.5,6.0
prices,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
retail,0.6666666666666666,1.0,0.8,4.0
wages,0.9285714285714286,0.8125,0.8666666666666667,16.0
accuracy,0.9271186440677966,0.9271186440677966,0.9271186440677966,0.9271186440677966
macro avg,0.8383952990075577,0.8711246128311658,0.8507359168073455,590.0
weighted avg,0.9301940383032529,0.9271186440677966,0.9277096008936203,590.0
