,precision,recall,f1-score,support
currency,1.0,0.8,0.8888888888888888,5.0
energy,1.0,0.7,0.8235294117647058,10.0
housing,1.0,0.75,0.8571428571428571,20.0
interest,0.8,0.8571428571428571,0.8275862068965517,14.0
jobs,0.9532710280373832,0.9357798165137615,0.9444444444444444,109.0
macro,0.8571428571428571,0.8372093023255814,0.8470588235294118,86.0
market,0.9782608695652174,0.7627118644067796,0.8571428571428571,59.0
none,0.8673835125448028,0.9758064516129032,0.9184060721062619,248.0
other,1.0,0.5,0.6666666666666666,6.0
prices,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
retail,0.5,0.5,0.5,4.0
wages,1.0,0.8125,0.896551724137931,16.0
accuracy,0.8932203389830509,0.8932203389830509,0.8932203389830509,0.8932203389830509
macro avg,0.8937740863767525,0.7666984217693876,0.8163873934959455,590.0
weighted avg,0.899405644382745,0.8932203389830509,0.8913241828973942,590.0
