,precision,recall,f1-score,support
currency,1.0,0.8,0.8888888888888888,5.0
energy,1.0,1.0,1.0,10.0
housing,1.0,0.95,0.9743589743589743,20.0
interest,0.75,0.8571428571428571,0.8,14.0
jobs,0.9553571428571429,0.981651376146789,0.9683257918552036,109.0
macro,0.8735632183908046,0.8837209302325582,0.8786127167630058,86.0
market,0.9411764705882353,0.8135593220338984,0.8727272727272727,59.0
none,0.956,0.9637096774193549,0.9598393574297188,248.0
other,0.5,0.5,0.5,6.0
prices,0.7857142857142857,0.8461538461538461,0.8148148148148148,13.0
retail,0.6666666666666666,1.0,0.8,4.0
wages,0.8666666666666667,0.8125,0.8387096774193549,16.0
accuracy,0.9254237288135593,0.9254237288135593,0.9254237288135593,0.9254237288135593
macro avg,0.8579287042403169,0.8673698340941086,0.8580231245214361,590.0
weighted avg,0.9273311799412927,0.9254237288135593,0.9253946543224428,590.0
