,precision,recall,f1-score,support
currency,1.0,1.0,1.0,1.0
interest,0.5,1.0,0.6666666666666666,2.0
jobs,1.0,1.0,1.0,23.0
macro,0.88,0.9565217391304348,0.9166666666666666,23.0
market,1.0,0.7391304347826086,0.85,23.0
none,0.9622641509433962,0.9622641509433962,0.9622641509433962,53.0
other,0.6666666666666666,1.0,0.8,2.0
prices,0.8571428571428571,1.0,0.9230769230769231,6.0
retail,1.0,1.0,1.0,1.0
wages,1.0,1.0,1.0,1.0
accuracy,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
macro avg,0.886607367475292,0.965791632485644,0.9118674407353652,135.0
weighted avg,0.9460458553791887,0.9333333333333333,0.9341120607787274,135.0
